"","ZIP.code","Bank account or service","Consumer loan","Credit card","Credit reporting","Debt collection","Money transfers","Mortgage","Other financial service","Payday loan","Prepaid card","Student loan"
"344",1033,0,0,1,1,0,0,5,0,0,0,0
"345",1034,0,0,0,0,3,0,2,0,0,0,0
"346",1035,0,0,0,2,3,0,2,0,0,0,0
"347",1036,1,0,2,0,0,1,3,0,0,0,0
"348",1038,0,0,0,1,0,0,1,0,0,0,0
"349",1040,2,2,4,0,4,0,10,0,2,0,1
"350",1041,0,0,0,1,0,0,1,0,0,0,0
"351",1047,1,0,0,0,0,0,0,0,0,0,0
"352",1050,0,0,0,0,0,0,1,0,0,0,0
"353",1054,0,0,0,0,1,0,1,0,0,0,0
"354",1056,4,0,1,3,0,0,2,0,0,0,0
"355",1057,2,0,1,0,0,0,3,0,0,0,0
"356",1060,2,1,3,2,0,0,3,0,0,0,1
"357",1061,1,0,0,0,0,0,0,0,0,0,0
"358",1062,0,1,1,0,1,0,4,0,0,0,1
"359",1068,0,0,0,0,1,0,2,0,0,0,0
"360",1069,0,0,0,1,3,0,1,0,0,0,0
"361",1070,0,0,0,0,1,0,0,0,0,0,0
"362",1072,0,0,1,1,0,0,0,0,0,0,2
"363",1073,0,0,0,0,0,0,2,0,0,0,0
"364",1075,2,0,4,1,1,0,3,0,0,0,1
"365",1077,1,1,2,1,0,0,8,0,0,0,0
"366",1080,0,0,0,0,1,0,0,0,0,0,0
"367",1081,0,0,0,0,1,0,0,0,0,0,0
"368",1082,1,0,0,11,1,0,5,0,0,0,0
"369",1083,1,0,1,0,0,0,2,0,0,0,0
"370",1085,3,2,7,1,10,0,30,0,0,0,1
"371",1086,0,0,0,0,0,0,1,0,0,0,0
"372",1087,0,0,0,0,0,0,0,0,1,0,0
"373",1088,1,0,1,0,0,0,0,0,0,0,0
"374",1089,4,1,4,12,13,2,2,0,0,0,0
"375",1092,0,1,0,0,0,0,0,0,0,0,0
"376",1094,0,0,0,0,0,0,0,0,0,0,1
"377",1095,1,0,3,2,5,0,7,0,0,0,0
"378",1096,0,0,1,0,0,1,0,0,0,0,0
"379",1097,0,1,0,0,0,0,0,0,0,0,0
"380",1101,0,0,0,0,2,0,2,0,0,0,0
"381",1103,2,0,0,1,0,0,0,0,0,0,1
"382",1104,4,0,3,0,4,0,8,0,0,0,1
"383",1105,1,0,0,0,0,0,0,0,0,0,0
"384",1106,3,1,3,1,2,0,6,0,0,0,0
"385",1107,1,0,1,2,1,0,0,0,0,0,0
"386",1108,7,2,3,3,7,0,6,0,0,0,0
"387",1109,2,0,3,1,11,0,8,1,0,0,3
"388",1110,0,0,0,1,0,0,0,0,0,0,0
"389",1111,0,0,1,0,0,0,0,0,0,0,0
"390",1116,0,0,1,0,0,0,0,0,0,0,0
"391",1118,3,1,4,0,5,0,8,0,0,1,1
"392",1119,4,1,2,3,3,0,6,0,0,0,1
"393",1128,0,0,1,3,0,0,1,0,0,0,1
"394",1129,1,0,1,1,2,0,2,0,0,0,0
"395",1139,0,0,0,0,0,0,1,0,0,0,0
"396",1144,0,0,0,0,0,0,3,0,0,0,0
"397",1151,0,1,1,1,0,0,0,0,0,0,0
"398",1160,0,0,1,0,0,0,0,0,0,0,0
"399",1201,1,1,1,2,7,1,11,0,0,0,3
"400",1202,2,0,1,0,1,0,1,0,0,0,0
"401",1210,0,1,0,0,0,0,0,0,0,0,0
"402",1212,0,0,1,0,0,0,0,0,0,0,0
"403",1219,1,0,0,0,0,0,0,0,0,0,0
"404",1220,0,0,0,1,1,1,2,0,0,0,0
"405",1223,1,0,0,0,0,0,2,0,0,0,0
"406",1225,1,0,0,0,0,0,0,0,0,0,0
"407",1226,0,0,1,0,0,0,0,0,0,0,2
"408",1230,1,1,0,1,1,0,1,0,0,0,3
"409",1238,0,0,0,0,1,0,0,0,0,0,0
"410",1240,0,0,0,0,0,0,2,0,0,0,0
"411",1243,0,0,0,0,0,0,1,0,0,0,0
"412",1244,0,1,0,0,0,0,0,0,0,0,0
"413",1245,0,0,0,0,1,0,1,0,0,0,0
"414",1247,0,0,1,0,0,0,4,0,0,1,3
"415",1253,0,1,0,0,0,0,1,0,0,0,0
"416",1254,0,0,0,0,0,1,0,0,0,0,0
"417",1255,0,1,0,0,0,0,0,0,0,0,0
"418",1260,0,0,1,0,0,0,0,0,0,0,0
"419",1267,0,0,1,0,0,0,0,0,0,0,0
"420",1301,4,2,4,1,0,0,6,0,1,0,1
"421",1330,0,0,0,0,0,0,2,0,0,0,0
"422",1331,2,0,3,1,4,0,3,0,0,0,0
"423",1337,0,0,0,0,0,0,1,0,0,0,0
"424",1339,0,0,1,0,1,0,1,0,0,0,0
"425",1340,0,0,1,3,0,0,0,0,0,0,0
"426",1341,1,0,2,0,0,0,0,0,0,0,0
"427",1344,0,0,1,0,0,0,0,0,0,0,0
"428",1346,0,0,0,0,0,0,1,0,0,0,0
"429",1351,0,0,2,0,0,0,1,0,0,0,0
"430",1354,0,0,1,0,0,0,0,0,0,0,0
"431",1355,0,0,1,0,0,0,1,0,0,0,0
"432",1364,1,0,0,0,0,0,2,0,0,0,1
"433",1368,0,0,0,0,0,0,2,0,0,0,0
"434",1370,0,1,1,0,0,0,0,0,0,0,0
"435",1373,0,0,0,0,2,0,0,0,0,0,0
"436",1375,0,0,1,0,1,0,1,0,0,0,1
"437",1376,1,1,0,3,1,0,2,0,0,0,0
"438",1378,0,0,0,0,1,0,0,0,0,0,0
"439",1379,0,0,0,0,0,0,1,0,0,0,0
"440",1405,1,0,0,0,0,0,0,0,0,0,0
"441",1420,5,2,10,3,7,0,14,0,0,0,3
"442",1430,0,0,0,0,1,0,5,0,0,0,1
"443",1431,0,0,3,0,1,0,1,0,0,0,1
"444",1432,3,1,1,2,1,0,3,0,0,0,3
"445",1433,0,0,0,0,0,0,1,0,0,0,0
"446",1436,0,0,1,0,1,0,0,0,0,0,0
"447",1440,2,0,3,1,5,0,4,0,0,1,0
"448",1450,1,0,2,0,1,0,1,0,0,0,0
"449",1451,1,0,2,1,2,0,0,0,0,0,1
"450",1452,0,0,1,0,0,0,2,0,0,0,0
"451",1453,6,0,7,3,3,1,6,0,0,1,3
"452",1460,0,1,5,1,0,0,3,0,0,0,0
"453",1462,0,0,2,0,2,0,7,0,0,0,0
"454",1463,5,0,2,1,2,0,5,0,0,1,0
"455",1464,2,0,2,2,4,0,6,1,0,0,0
"456",1468,1,0,0,0,0,0,2,0,0,0,1
